name,symbol,link
AXA,AXA.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000120628.html?lang=it
AZIMUT HOLDING,AZM.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003261697.html?lang=it
B&C SPEAKERS,BEC.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001268561.html?lang=it
B.F.,BFG.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005187460.html?lang=it
BANCA GENERALI,BGN.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001031084.html?lang=it
BANCA IFIS,IF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003188064.html?lang=it
BANCA MEDIOLANUM,BMED.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004776628.html?lang=it
BANCA SISTEMA,BST.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003173629.html?lang=it
BANCO BPM,BAMI.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005218380.html?lang=it
BANCO SANTANDER,SANT.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/ES0113900J37.html?lang=it
BASF,BASF.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE000BASF111.html?lang=it
BASICNET,BAN.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001033700.html?lang=it
BASTOGI,B.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004412497.html?lang=it
BAYER,BAY.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE000BAY0017.html?lang=it
BB BIOTECH,BB.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/CH0038389992.html?lang=it
BBVA,BBVA,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/ES0113211835.html?lang=it
BCA CARIGE,CRG.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005428195.html?lang=it
BCA CARIGE R,CRGR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005428203.html?lang=it
BCA FINNAT,BFE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000088853.html?lang=it
